_col1,blockchain,usd_volume
2023-05-22 00:00:00+00:00,arbitrum,1709818760.7498434
2023-05-29 00:00:00+00:00,arbitrum,1498335050.3248026
2023-06-05 00:00:00+00:00,arbitrum,2046096252.1846194
2023-06-12 00:00:00+00:00,arbitrum,1548113649.5295782
2023-06-19 00:00:00+00:00,arbitrum,1783332400.6391003
2023-05-22 00:00:00+00:00,avalanche_c,33551968.254487198
2023-05-29 00:00:00+00:00,avalanche_c,42241201.278937005
2023-06-05 00:00:00+00:00,avalanche_c,48793789.69701887
2023-06-12 00:00:00+00:00,avalanche_c,35961584.876613066
2023-06-19 00:00:00+00:00,avalanche_c,42335075.77762934
2023-05-22 00:00:00+00:00,bnb,4764808231.864208
2023-05-29 00:00:00+00:00,bnb,2301248866.7039967
2023-06-05 00:00:00+00:00,bnb,2824605376.2402196
2023-06-12 00:00:00+00:00,bnb,2442365202.060153
2023-06-19 00:00:00+00:00,bnb,1760342560.4085636
2023-05-22 00:00:00+00:00,ethereum,7660756998.367614
2023-05-29 00:00:00+00:00,ethereum,6866301464.313905
2023-06-05 00:00:00+00:00,ethereum,8544412694.032095
2023-06-12 00:00:00+00:00,ethereum,8324530103.636017
2023-06-19 00:00:00+00:00,ethereum,7971620353.5503
2023-05-22 00:00:00+00:00,fantom,77995140.09004354
2023-05-29 00:00:00+00:00,fantom,52980226.92314528
2023-06-05 00:00:00+00:00,fantom,53585615.71824317
2023-06-12 00:00:00+00:00,fantom,38414223.456300676
2023-06-19 00:00:00+00:00,fantom,30855034.28903236
2023-05-22 00:00:00+00:00,gnosis,486648.01209801435
2023-05-29 00:00:00+00:00,gnosis,247044.65555576567
2023-06-05 00:00:00+00:00,gnosis,390877.5902755501
2023-06-12 00:00:00+00:00,gnosis,4261096.128855684
2023-06-19 00:00:00+00:00,gnosis,1196578.5667756808
2023-05-22 00:00:00+00:00,optimism,234367726.58841908
2023-05-29 00:00:00+00:00,optimism,217262146.50453627
2023-06-05 00:00:00+00:00,optimism,283846230.77076757
2023-06-12 00:00:00+00:00,optimism,241145085.26027867
2023-06-19 00:00:00+00:00,optimism,261156432.17241144
2023-05-22 00:00:00+00:00,polygon,576506979.8375783
2023-05-29 00:00:00+00:00,polygon,514896830.8937225
2023-06-05 00:00:00+00:00,polygon,905905585.3761773
2023-06-12 00:00:00+00:00,polygon,710364126.9205912
2023-06-19 00:00:00+00:00,polygon,623481166.1763649
